
9 1e-11 3.55138 3.57895
10 1e-11 3.46372 3.48424
11 1e-11 3.36693 3.37908
12 1e-11 3.26099 3.26392
13 1e-11 3.146 3.13878
 
 
9 0.0005 3.28504 3.31066
10 0.0005 3.18738 3.20559
11 0.0005 3.08035 3.08982
12 0.0005 2.96387 2.96387
 
 
8 0.001 3.15337 3.18225
9 0.001 3.05569 3.07743
10 0.001 2.94824 2.96209
11 0.001 2.83104 2.83586
12 0.001 2.70421 2.6992
 
 
8 0.0015 2.94893 2.97572
9 0.0015 2.84186 2.8612
10 0.0015 2.72467 2.73581
11 0.0015 2.59745 2.59964
12 0.0015 2.46028 2.45238
 
 
8 0.002 2.755 2.77917
9 0.002 2.63868 2.65511
10 0.002 2.51186 2.51977
11 0.002 2.37469 2.37333
 
 
7 0.0025 2.68316 2.71194
8 0.0025 2.56911 2.59075
9 0.0025 2.44373 2.45744
10 0.0025 2.30741 2.31235
11 0.0025 2.1604 2.15583
 
 
7 0.003 2.51264 2.53857
8 0.003 2.3901 2.4087
9 0.003 2.25572 2.26621
10 0.003 2.10995 2.11148
11 0.003 1.95317 1.94496
 
 
7 0.0035 2.34773 2.37063
8 0.0035 2.21685 2.23225
9 0.0035 2.07356 2.08073
10 0.0035 1.91844 1.91652
 
 
6 0.004 2.31273 2.33942
7 0.004 2.18763 2.20742
8 0.004 2.04858 2.06078
9 0.004 1.89648 1.90044
10 0.004 1.73207 1.72694
 
 
6 0.0045 2.16433 2.1881
7 0.0045 2.0319 2.04844
8 0.0045 1.88474 1.89361
9 0.0045 1.7239 1.72456
10 0.0045 1.55025 1.54193
 
 
